id	sentence	raw	ipa	gloss_en	features	notes
xaa-011	الزَّهَرْ يَفُوحْ فِي بُسْتَانِ الْقَصْرْ.	الزهر يفوح في بستان القصر.	azzahar jafuːħ fiː bustaːni lqasˤr	The orange blossom is fragrant in the palace garden.	qaf;sun_assim;emphatic;pharyngeal;geminate;long_vowel;statement	azzahár 'orange blossom' — final-stressed Andalusi etymon of Sp. azahar, evidencing the Romance-imposed stress shift (vicente2020 §3.1.1); voiceless /q/ القَصْر, emphatic ص.
xaa-012	هَلْ ثَقِفْتَ الْكِتَابْ يَا وَلَذْ؟	هل ثقفت الكتاب يا ولذ؟	hal θaqifta lkitaːb jaʔ walað	Have you grasped the book, boy?	qaf;interdental;kaf;long_vowel;question	Interdental ث /θ/ retained; final -d written ⟨ذ⟩ ولَذ reflecting the /d/~[ð] spirantisation merger whereby scribes wrote ذ for etymological d (corriente2015 via vicente2020 §3.1.1).
xaa-013	لَاشْ تَبْكِي يَا حَبِيبِي فِي اللَّيْلْ؟	لاش تبكي يا حبيبي في الليل؟	laːʃ tabkiː jaʔ ħabiːbiː fiː llajl	Why do you weep, my love, in the night?	kaf;sun_assim;pharyngeal;geminate;long_vowel;diphthong;question	lāš 'why' (Andalusi interrogative); zaǧal/love-lyric register in the manner of Ibn Quzmān (corriente2013); geminate اللَّيْل, diphthong /aj/, pharyngeal ح.
xaa-014	الْعَجُوزْ تَغْزِلُ الصُّوفْ تَحْتَ الشَّجَرَةْ.	العجوز تغزل الصوف تحت الشجرة.	alʕadʒuːz taɣzilu sˤsˤuːf taħta ʃʃadʒara	The old woman spins the wool under the tree.	jim;ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;statement	jim ج, ta marbuta الشَّجَرَة, sun assimilation الصُّوف/الشَّجَرَة, emphatic ص, pharyngeal ح — coverage row over the everyday Andalusi register (vicente2020).
xaa-015	جَابَ الْغُلَامْ مَاءْ مِنَ الْبِيرْ.	جاب الغلام ماء من البير.	dʒaːba lɣulaːm maːʔ mina lbiːr	The boy brought water from the well.	jim;hamza;long_vowel;statement	ǧāb 'to bring' (Andalusi/Maghrebi, vicente2020 fn.12); má 'water' treated on a Romance model (vicente2020 §3.1.3); hamza ماء, jim ج.
xaa-016	الْقَاضِي حَكَمَ بِالْعَذْلِ بَيْنَ النَّاسْ.	القاضي حكم بالعذل بين الناس.	alqaːɮˤiː ħakama bilʕaðli bajna nnaːs	The judge ruled with fairness among the people.	qaf;interdental;kaf;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;statement	ʕadl 'justice' written ⟨عذل⟩ with ذ for etymological d (the /d/~[ð] spirantisation merger, corriente2015 via vicente2020 §3.1.1); voiceless /q/ القاضي, pharyngeal ع ح, diphthong بَيْن.
xaa-017	ثَمَانِي نِسَاءْ خَرَجْنَ إِلَى السُّوقْ.	ثماني نساء خرجن إلى السوق.	θamaːniː nisaːʔ xaradʒna ʔilaː ssuːq	Eight women went out to the market.	qaf;jim;interdental;hamza;sun_assim;geminate;long_vowel;number;statement	Interdental ث /θ/, hamza نِسَاء, sun assimilation السُّوق, n-…-na desinence خَرَجْنَ; everyday market register (vicente2020).
xaa-018	الْفَلَّاحْ زَرَعَ الْقَمْحْ فِي الْحَقْلْ.	الفلاح زرع القمح في الحقل.	alfallaːħ zaraʕa lqamħ fiː lħaql	The farmer sowed the wheat in the field.	qaf;pharyngeal;geminate;long_vowel;statement	Voiceless /q/ [q] in القَمْح/الحَقْل (vicente2020 p.228); geminate الفَلَّاح, pharyngeal ح ع — agrarian register of al-Andalus.
xaa-019	ضَاعَ الطَّيْرْ فِي الْغَيْمِ الْأَبْيَضْ.	ضاع الطير في الغيم الأبيض.	ɮˤaːʕa tˤtˤajr fiː lɣajmi lʔabjaɮˤ	The bird was lost in the white cloud.	hamza;sun_assim;emphatic;pharyngeal;long_vowel;diphthong;statement	ḍād ض and ṭ as emphatics; partial loss of contrastive velarisation was an Andalusi Romance-contact trait (corriente2015:82 via vicente2020) — here the emphatics are retained; diphthongs طَيْر/غَيْم /aj/, hamza الأَبْيَض.
xaa-020	مَا شَافْ شِي الرَّجُلْ حَبِيبُو الْيَوْمْ.	ما شاف شي الرجل حبيبو اليوم.	maː ʃaːf ʃiː rradʒul ħabiːbuː ljawm	The man did not see his beloved today.	jim;sun_assim;pharyngeal;geminate;long_vowel;diphthong;negation;statement	Andalusi ma…ši negation (Moroccan-transfer construction, generally exceptional in older sources: vicente2020 fn.12, corriente 1998a:57 via corriente2015); šāf 'to see', 3sg.m -u ⟨حبيبو⟩ /ħabiːbu/.
