id	sentence	raw	ipa	gloss_en	features	notes
ar-011	سِرْ مُبَاشَرَةً ثُمَّ لُفَّ يَمِينًا عِنْدَ الْجَامِعِ.	سر مباشرة ثم لف يمينا عند الجامع.	ˈsir mubaːˈʃaratan ˈθumma ˈluffa jaˈmiːnan ˈʕinda lˈdʒaːmiʕi	Go straight, then turn right at the mosque.	jim;interdental;ta_marbuta;pharyngeal;geminate;long_vowel;imperative	imperatives sir/luffa (no hamzat wasl); adverbial tanwin -an pair; jim + interdental inventory per (watson2002)
ar-012	كَانَ الطَّعَامُ لَذِيذًا لَكِنَّ الشُّورْبَةَ كَانَتْ بَارِدَةً.	كان الطعام لذيذا لكن الشوربة كانت باردة.	ˈkaːna tˤtˤɑˈʕaːmu laˈðiːðan laˈkinna ʃˈʃuːrbata ˈkaːnat baːˈridatan	The food was delicious but the soup was cold.	interdental;kaf;ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;statement	kaana + accusative predicates; emphatic backing in at-ta'aamu (watson2002)
ar-013	أَيْنَ وَضَعْتَ الْمِفْتَاحَ؟ لَمْ أَجِدْهُ.	أين وضعت المفتاح؟ لم أجده.	ˈʔajna waˈdˤɑʕta lmifˈtaːħa ˈlam ʔaˈdʒidhu	Where did you put the key? I did not find it.	jim;hamza;emphatic;pharyngeal;long_vowel;diphthong;question;negation	lam + jussive; emphatic d in wada'ta (watson2002)
ar-014	كَمْ شَخْصًا جَاءَ أَمْسِ؟ جَاءَ سَبْعَةٌ.	كم شخصا جاء أمس؟ جاء سبعة.	ˈkam ˈʃaxsˤɑn ˈdʒaːʔa ˈʔamsi ˈdʒaːʔa ˈsabʕatun	How many people came yesterday? Seven came.	jim;kaf;hamza;ta_marbuta;emphatic;pharyngeal;long_vowel;question;number	kam + accusative singular; medial and final hamza in jaa'a (ryding2005)
ar-015	إِذَا جِئْتَ مُبَكِّرًا ذَهَبْنَا مَعًا.	إذا جئت مبكرا ذهبنا معا.	ˈʔiðaː ˈdʒiʔta muˈbakkiran ðaˈhabnaː ˈmaʕan	If you come early we go together.	jim;interdental;kaf;hamza;pharyngeal;geminate;long_vowel;statement	idhaa conditional with perfect; hamza seat on yaa in ji'ta (ryding2005)
ar-016	ذَهَبْتُ أَمْسِ إِلَى السُّوقِ وَأَخَذْتُ سَمَكًا طَازَجًا.	ذهبت أمس إلى السوق وأخذت سمكا طازجا.	ðaˈhabtu ˈʔamsi ˈʔilaː sˈsuːqi waʔaˈxaðtu ˈsamakan ˈtˤɑːzadʒan	Yesterday I went to the market and took fresh fish.	qaf;jim;interdental;kaf;hamza;sun_assim;emphatic;geminate;long_vowel;statement	past narrative; interdental dh; wa+hamza (real hamzat qat') keeps its glottal stop; hamzat-qatʕ realised as a full glottal stop 'under all circumstances' (ryding2005 p.16)
ar-017	غَدًا نُسَافِرُ فِي الصَّبَاحِ الْبَاكِرِ.	غدا نسافر في الصباح الباكر.	ˈɣadan nuˈsaːfiru ˈfiː sˤsˤɑˈbaːħi lˈbaːkiri	Tomorrow we travel in the early morning.	kaf;sun_assim;emphatic;pharyngeal;long_vowel;statement	future-time adverb ghadan; emphatic s backing in as-sabaah (watson2002)
ar-018	أَلُو، مَنْ مَعِي؟ ثَانِيَةً وَاحِدَةً مِن فَضْلِكَ.	ألو، من معي؟ ثانية واحدة من فضلك.	ˈʔaluː ˈman ˈmaʕiː θaːˈnijatan waːˈħidatan ˈmin ˈfɑdˤlika	Hello, who is with me? One second please.	interdental;kaf;hamza;ta_marbuta;emphatic;pharyngeal;long_vowel;question	telephone frame; feminine accusative agreement pair; interdental th; interdental ث in the consonant inventory per (watson2002)
ar-019	صَبَاحُ الْخَيْرِ، كَيْفَ صِحَّتُكَ الْيَوْمَ؟ بِخَيْرٍ، شُكْرًا.	صباح الخير، كيف صحتك اليوم؟ بخير، شكرا.	sˤɑˈbaːħu lˈxajri ˈkajfa sˤiħˈħatuka lˈjawma biˈxajrin ˈʃukran	Good morning, how is your health today? Well, thanks.	kaf;emphatic;pharyngeal;geminate;long_vowel;diphthong;question	greeting adjacency pair; geminate hh in sihhatuka; tanwin -in pre-pausal (ryding2005)
ar-020	اَلصَّبْرُ مِفْتَاحُ الْفَرَجِ.	الصبر مفتاح الفرج.	ɑsˤˈsˤɑbru mifˈtaːħu lˈfaradʒi	Patience is the key to relief.	jim;sun_assim;emphatic;pharyngeal;long_vowel;statement	proverb; idafa chain miftaahu l-faraji with article elision (ryding2005)
